"frame","gold","ratio","new_item","hero","spelldamage","physicaldamage","xpos","ypos","xp","buildingdamage","lanelh","nuetrallh","ancientlh","stacks","roshan","smokes","smoketime","deathtime","deathes","biuldingkills","kills","assists","denies","healing","mods","stun","obs","sents","casts","side","winner"
-89.42824999999999,0.0,0.0,"[item_tango  item_flask  item_wind_lace]",hero_phoenix,0.0,0.0,74.0,74.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-88.42804000000001,0.0,0.0,"",hero_phoenix,0.0,0.0,74.0,74.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-87.42783,0.0,0.0,"",hero_phoenix,0.0,0.0,74.0,74.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-86.42760999999999,0.0,0.0,"",hero_phoenix,0.0,0.0,74.0,74.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-85.4274,0.0,0.0,"",hero_phoenix,0.0,0.0,74.0,74.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-84.42717999999999,0.0,0.0,"",hero_phoenix,0.0,0.0,76.0,74.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-83.42697000000001,0.0,0.0,"",hero_phoenix,0.0,0.0,76.0,76.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-82.42676,0.0,0.0,"",hero_phoenix,0.0,0.0,76.0,78.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-81.42653999999999,0.0,0.0,"",hero_phoenix,0.0,0.0,78.0,78.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-80.42633000000001,0.0,0.0,"",hero_phoenix,0.0,0.0,80.0,80.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-79.42612,0.0,0.0,"",hero_phoenix,0.0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-78.42589999999998,0.0,0.0,"",hero_phoenix,0.0,0.0,84.0,82.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-77.42569,0.0,0.0,"",hero_phoenix,0.0,0.0,86.0,82.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-76.42548,0.0,0.0,"",hero_phoenix,0.0,0.0,90.0,82.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-75.42526000000001,0.0,0.0,"",hero_phoenix,0.0,0.0,90.0,84.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
-74.42505,0.0,0.0,"",hero_phoenix,0.0,0.0,90.0,84.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,radiant,radiant
